Posição,Time,P,J,V,E,D,GP,GC,SG
1,Flamengo,86,38,26,8,4,66,16,50
2,Palmeiras,81,36,25,6,5,60,26,34
3,Cruzeiro Saf,81,38,24,9,5,52,22,30
4,Mirassol,73,38,20,13,5,57,31,26
5,Bahia,69,38,20,9,9,47,35,12
6,Botafogo,60,38,16,12,10,44,29,15
7,São Paulo,56,38,15,11,12,38,34,4
8,Corinthians,54,38,14,12,12,37,36,1
9,Vasco da Gama S.a.f.,52,38,14,10,14,51,44,7
10,Fluminense,50,38,14,8,16,37,41,-4
11,Grêmio,46,38,11,13,14,34,42,-8
12,Atlético Mineiro Saf,42,36,10,12,14,28,35,-7
13,Ceará,41,38,10,11,17,29,33,-4
14,Internacional,41,38,9,14,15,35,45,-10
15,Santos Fc,40,36,10,10,16,33,46,-13
16,Red Bull Bragantino,40,38,10,10,18,35,52,-17
17,Vitória,36,38,8,12,18,29,51,-22
18,Fortaleza Ec Saf,31,36,7,10,19,28,48,-20
19,Juventude,27,38,7,6,25,24,64,-40
20,Sport Recife,18,38,2,12,24,22,56,-34
