ano,rodada,data,time,elo
2025,1,2025-03-29,Cruzeiro Saf,1015.0
2025,1,2025-03-29,Mirassol,985.0
2025,1,2025-03-29,Grêmio,1015.0
2025,1,2025-03-29,Atlético Mineiro Saf,985.0
2025,1,2025-03-29,Fortaleza Ec Saf,1030.0
2025,1,2025-03-29,Fluminense,970.0
2025,1,2025-03-29,Juventude,1030.0
2025,1,2025-03-29,Vitória,970.0
2025,1,2025-03-29,São Paulo,1000.0
2025,1,2025-03-29,Sport Recife,1000.0
2025,1,2025-03-29,Flamengo,1000.0
2025,1,2025-03-29,Internacional,1000.0
2025,1,2025-03-30,Palmeiras,1000.0
2025,1,2025-03-30,Botafogo,1000.0
2025,1,2025-03-30,Vasco da Gama S.a.f.,1015.0
2025,1,2025-03-30,Santos Fc,985.0
2025,1,2025-03-30,Bahia,1000.0
2025,1,2025-03-30,Corinthians,1000.0
2025,1,2025-03-31,Red Bull Bragantino,1000.0
2025,1,2025-03-31,Ceará,1000.0
2025,2,2025-04-05,Ceará,1031.29
2025,2,2025-04-05,Grêmio,983.71
2025,2,2025-04-05,Corinthians,1046.94
2025,2,2025-04-05,Vasco da Gama S.a.f.,968.06
2025,2,2025-04-05,Botafogo,1032.58
2025,2,2025-04-05,Juventude,997.42
2025,2,2025-04-06,Santos Fc,985.65
2025,2,2025-04-06,Bahia,999.35
2025,2,2025-04-06,Internacional,1046.94
2025,2,2025-04-06,Cruzeiro Saf,968.06
2025,2,2025-04-06,Sport Recife,983.5
2025,2,2025-04-06,Palmeiras,1016.5
2025,2,2025-04-06,Vitória,954.92
2025,2,2025-04-06,Flamengo,1015.08
2025,2,2025-04-06,Mirassol,986.93
2025,2,2025-04-06,Fortaleza Ec Saf,1028.07
2025,2,2025-04-06,Atlético Mineiro Saf,985.65
2025,2,2025-04-06,São Paulo,999.35
2025,2,2025-04-06,Fluminense,986.29
2025,2,2025-04-06,Red Bull Bragantino,983.71
2025,3,2025-04-12,Juventude,1013.87
2025,3,2025-04-12,Ceará,1014.84
2025,3,2025-04-12,Red Bull Bragantino,1000.8
2025,3,2025-04-12,Botafogo,1015.49
2025,3,2025-04-12,Palmeiras,1049.12
2025,3,2025-04-12,Corinthians,1014.32
2025,3,2025-04-12,Vasco da Gama S.a.f.,999.39
2025,3,2025-04-12,Sport Recife,952.17
2025,3,2025-04-13,Atlético Mineiro Saf,984.32
2025,3,2025-04-13,Vitória,956.24
2025,3,2025-04-13,Fortaleza Ec Saf,1028.88
2025,3,2025-04-13,Internacional,1046.13
2025,3,2025-04-13,Fluminense,1001.26
2025,3,2025-04-13,Santos Fc,970.68
2025,3,2025-04-13,São Paulo,998.01
2025,3,2025-04-13,Cruzeiro Saf,969.41
2025,3,2025-04-13,Bahia,998.82
2025,3,2025-04-13,Mirassol,987.47
2025,3,2025-04-13,Grêmio,953.68
2025,3,2025-04-13,Flamengo,1045.11
2025,4,2025-04-15,Ceará,1029.17
2025,4,2025-04-15,Vasco da Gama S.a.f.,985.06
2025,4,2025-04-16,Vitória,974.34
2025,4,2025-04-16,Fortaleza Ec Saf,1010.79
2025,4,2025-04-16,Santos Fc,1001.85
2025,4,2025-04-16,Atlético Mineiro Saf,953.15
2025,4,2025-04-16,Flamengo,1127.04
2025,4,2025-04-16,Juventude,931.94
2025,4,2025-04-16,Corinthians,980.08
2025,4,2025-04-16,Fluminense,1035.5
2025,4,2025-04-16,Internacional,1029.77
2025,4,2025-04-16,Palmeiras,1065.48
2025,4,2025-04-16,Sport Recife,937.96
2025,4,2025-04-16,Red Bull Bragantino,1015.01
2025,4,2025-04-16,Mirassol,1028.11
2025,4,2025-04-16,Grêmio,913.04
2025,4,2025-04-16,Botafogo,1014.73
2025,4,2025-04-16,São Paulo,998.76
2025,4,2025-04-17,Cruzeiro Saf,1018.21
2025,4,2025-04-17,Bahia,950.02
2025,5,2025-04-19,Corinthians,993.27
2025,5,2025-04-19,Sport Recife,924.77
2025,5,2025-04-19,Vasco da Gama S.a.f.,990.87
2025,5,2025-04-19,Flamengo,1121.23
2025,5,2025-04-19,Grêmio,917.9
2025,5,2025-04-19,Internacional,1024.91
2025,5,2025-04-20,Red Bull Bragantino,1030.15
2025,5,2025-04-20,Cruzeiro Saf,1003.07
2025,5,2025-04-20,Fortaleza Ec Saf,996.87
2025,5,2025-04-20,Palmeiras,1079.4
2025,5,2025-04-20,Fluminense,1032.89
2025,5,2025-04-20,Vitória,976.95
2025,5,2025-04-20,Juventude,935.99
2025,5,2025-04-20,Mirassol,1024.06
2025,5,2025-04-20,São Paulo,1013.89
2025,5,2025-04-20,Santos Fc,986.72
2025,5,2025-04-20,Atlético Mineiro Saf,970.78
2025,5,2025-04-20,Botafogo,997.1
2025,5,2025-04-21,Bahia,968.38
2025,5,2025-04-21,Ceará,1010.81
2025,6,2025-04-26,Botafogo,1030.18
2025,6,2025-04-26,Fluminense,999.81
2025,6,2025-04-26,Sport Recife,927.84
2025,6,2025-04-26,Fortaleza Ec Saf,993.8
2025,6,2025-04-26,Ceará,1010.94
2025,6,2025-04-26,São Paulo,1013.76
2025,6,2025-04-26,Mirassol,1021.77
2025,6,2025-04-26,Atlético Mineiro Saf,973.06
2025,6,2025-04-26,Internacional,1047.4
2025,6,2025-04-26,Juventude,913.51
2025,6,2025-04-27,Flamengo,1160.08
2025,6,2025-04-27,Corinthians,954.42
2025,6,2025-04-27,Palmeiras,1057.8
2025,6,2025-04-27,Bahia,989.98
2025,6,2025-04-27,Cruzeiro Saf,1017.54
2025,6,2025-04-27,Vasco da Gama S.a.f.,976.39
2025,6,2025-04-27,Vitória,974.42
2025,6,2025-04-27,Grêmio,920.42
2025,6,2025-04-27,Santos Fc,972.27
2025,6,2025-04-27,Red Bull Bragantino,1044.6
