Posição,Time,P,J,V,E,D,GP,GC,SG
1,Flamengo,88,38,27,7,4,67,16,51
2,Palmeiras,83,36,26,5,5,61,26,35
3,Cruzeiro Saf,81,38,24,9,5,52,22,30
4,Bahia,71,38,21,8,9,48,35,13
5,Mirassol,71,38,20,11,7,57,33,24
6,Botafogo,62,38,17,11,10,45,29,16
7,São Paulo,60,38,17,9,12,40,34,6
8,Vasco da Gama S.a.f.,56,38,16,8,14,53,44,9
9,Corinthians,54,38,14,12,12,37,36,1
10,Fluminense,48,38,14,6,18,37,43,-6
11,Internacional,44,38,11,11,16,37,46,-9
12,Grêmio,44,38,11,11,16,34,44,-10
13,Ceará,43,38,11,10,17,30,33,-3
14,Atlético Mineiro Saf,43,36,11,10,15,29,36,-7
15,Santos Fc,40,36,10,10,16,33,46,-13
16,Red Bull Bragantino,38,38,10,8,20,35,54,-19
17,Vitória,35,38,8,11,19,29,52,-23
18,Fortaleza Ec Saf,30,36,7,9,20,28,49,-21
19,Juventude,27,38,7,6,25,24,64,-40
20,Sport Recife,18,38,2,12,24,22,56,-34
