ano,tipo,posicao,time,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo
2021,Previsão,1,Internacional,100,32,4,2,32,2,30
2021,Previsão,2,Atlético Mineiro,96,31,3,4,31,4,27
2021,Previsão,3,São Paulo,90,28,6,4,30,4,26
2021,Previsão,4,Palmeiras,88,27,7,4,28,5,23
2021,Previsão,5,Grêmio,76,24,4,10,24,10,14
2021,Previsão,6,Flamengo,70,21,7,10,21,10,11
2021,Previsão,7,Fluminense,67,19,10,9,19,9,10
2021,Previsão,8,Santos Fc,63,18,9,11,19,12,7
2021,Previsão,9,Fortaleza,53,16,5,17,16,18,-2
2021,Previsão,10,Athletico Paranaense,53,15,8,15,16,15,1
2021,Previsão,11,Ceará,52,15,7,16,17,18,-1
2021,Previsão,12,Corinthians,48,13,9,16,13,16,-3
2021,Previsão,13,Red Bull Bragantino,47,12,11,15,13,16,-3
2021,Previsão,14,Vasco da Gama,41,12,5,21,13,22,-9
2021,Previsão,15,Atlético Goianiense,33,7,12,19,7,19,-12
2021,Previsão,16,Bahia,32,9,5,24,10,25,-15
2021,Previsão,17,Sport Recife,22,5,7,26,7,28,-21
2021,Previsão,18,Botafogo,16,3,7,28,4,29,-25
2021,Previsão,19,Coritiba,14,3,5,30,3,30,-27
2021,Previsão,20,Goiás,12,3,3,32,3,34,-31
