ano,rodada,data,time,elo
2025,1,2025-03-29,Cruzeiro Saf,1015.0
2025,1,2025-03-29,Mirassol,985.0
2025,1,2025-03-29,Grêmio,1015.0
2025,1,2025-03-29,Atlético Mineiro Saf,985.0
2025,1,2025-03-29,Fortaleza Ec Saf,1015.0
2025,1,2025-03-29,Fluminense,985.0
2025,1,2025-03-29,Juventude,1015.0
2025,1,2025-03-29,Vitória,985.0
2025,1,2025-03-29,São Paulo,1000.0
2025,1,2025-03-29,Sport Recife,1000.0
2025,1,2025-03-29,Flamengo,1000.0
2025,1,2025-03-29,Internacional,1000.0
2025,1,2025-03-30,Palmeiras,1000.0
2025,1,2025-03-30,Botafogo,1000.0
2025,1,2025-03-30,Vasco da Gama S.a.f.,1015.0
2025,1,2025-03-30,Santos Fc,985.0
2025,1,2025-03-30,Bahia,1000.0
2025,1,2025-03-30,Corinthians,1000.0
2025,1,2025-03-31,Red Bull Bragantino,1000.0
2025,1,2025-03-31,Ceará,1000.0
2025,2,2025-04-05,Ceará,1015.65
2025,2,2025-04-05,Grêmio,999.35
2025,2,2025-04-05,Corinthians,1015.65
2025,2,2025-04-05,Vasco da Gama S.a.f.,999.35
2025,2,2025-04-05,Botafogo,1015.65
2025,2,2025-04-05,Juventude,999.35
2025,2,2025-04-06,Santos Fc,985.65
2025,2,2025-04-06,Bahia,999.35
2025,2,2025-04-06,Internacional,1015.65
2025,2,2025-04-06,Cruzeiro Saf,999.35
2025,2,2025-04-06,Sport Recife,985.0
2025,2,2025-04-06,Palmeiras,1015.0
2025,2,2025-04-06,Vitória,970.65
2025,2,2025-04-06,Flamengo,1014.35
2025,2,2025-04-06,Mirassol,986.29
2025,2,2025-04-06,Fortaleza Ec Saf,1013.71
2025,2,2025-04-06,Atlético Mineiro Saf,985.65
2025,2,2025-04-06,São Paulo,999.35
2025,2,2025-04-06,Fluminense,1000.65
2025,2,2025-04-06,Red Bull Bragantino,984.35
2025,3,2025-04-12,Juventude,1015.06
2025,3,2025-04-12,Ceará,999.94
2025,3,2025-04-12,Red Bull Bragantino,1000.7
2025,3,2025-04-12,Botafogo,999.3
2025,3,2025-04-12,Palmeiras,1030.03
2025,3,2025-04-12,Corinthians,1000.62
2025,3,2025-04-12,Vasco da Gama S.a.f.,1013.73
2025,3,2025-04-12,Sport Recife,970.62
2025,3,2025-04-13,Atlético Mineiro Saf,985.0
2025,3,2025-04-13,Vitória,971.29
2025,3,2025-04-13,Fortaleza Ec Saf,1013.79
2025,3,2025-04-13,Internacional,1015.56
2025,3,2025-04-13,Fluminense,1015.0
2025,3,2025-04-13,Santos Fc,971.29
2025,3,2025-04-13,São Paulo,999.35
2025,3,2025-04-13,Cruzeiro Saf,999.35
2025,3,2025-04-13,Bahia,998.79
2025,3,2025-04-13,Mirassol,986.86
2025,3,2025-04-13,Grêmio,985.0
2025,3,2025-04-13,Flamengo,1028.71
2025,4,2025-04-15,Ceará,1015.54
2025,4,2025-04-15,Vasco da Gama S.a.f.,998.14
2025,4,2025-04-16,Vitória,988.12
2025,4,2025-04-16,Fortaleza Ec Saf,996.97
2025,4,2025-04-16,Santos Fc,986.89
2025,4,2025-04-16,Atlético Mineiro Saf,969.41
2025,4,2025-04-16,Flamengo,1043.12
2025,4,2025-04-16,Juventude,1000.64
2025,4,2025-04-16,Corinthians,986.24
2025,4,2025-04-16,Fluminense,1029.38
2025,4,2025-04-16,Internacional,1001.19
2025,4,2025-04-16,Palmeiras,1044.4
2025,4,2025-04-16,Sport Recife,956.91
2025,4,2025-04-16,Red Bull Bragantino,1014.4
2025,4,2025-04-16,Mirassol,1001.78
2025,4,2025-04-16,Grêmio,970.08
2025,4,2025-04-16,Botafogo,999.3
2025,4,2025-04-16,São Paulo,999.35
2025,4,2025-04-17,Cruzeiro Saf,1014.33
2025,4,2025-04-17,Bahia,983.81
2025,5,2025-04-19,Corinthians,999.98
2025,5,2025-04-19,Sport Recife,943.18
2025,5,2025-04-19,Vasco da Gama S.a.f.,1000.07
2025,5,2025-04-19,Flamengo,1041.19
2025,5,2025-04-19,Grêmio,971.42
2025,5,2025-04-19,Internacional,999.85
2025,5,2025-04-20,Red Bull Bragantino,1029.4
2025,5,2025-04-20,Cruzeiro Saf,999.33
2025,5,2025-04-20,Fortaleza Ec Saf,984.0
2025,5,2025-04-20,Palmeiras,1057.37
2025,5,2025-04-20,Fluminense,1027.61
2025,5,2025-04-20,Vitória,989.89
2025,5,2025-04-20,Juventude,1000.69
2025,5,2025-04-20,Mirassol,1001.73
2025,5,2025-04-20,São Paulo,1013.81
2025,5,2025-04-20,Santos Fc,972.42
2025,5,2025-04-20,Atlético Mineiro Saf,985.7
2025,5,2025-04-20,Botafogo,983.01
2025,5,2025-04-21,Bahia,1000.18
2025,5,2025-04-21,Ceará,999.17
2025,6,2025-04-26,Botafogo,999.93
2025,6,2025-04-26,Fluminense,1010.69
2025,6,2025-04-26,Sport Recife,944.93
2025,6,2025-04-26,Fortaleza Ec Saf,982.25
2025,6,2025-04-26,Ceará,999.8
2025,6,2025-04-26,São Paulo,1013.18
2025,6,2025-04-26,Mirassol,1001.04
2025,6,2025-04-26,Atlético Mineiro Saf,986.39
2025,6,2025-04-26,Internacional,1014.88
2025,6,2025-04-26,Juventude,985.66
2025,6,2025-04-27,Flamengo,1054.41
2025,6,2025-04-27,Corinthians,986.75
2025,6,2025-04-27,Palmeiras,1039.92
2025,6,2025-04-27,Bahia,1017.63
2025,6,2025-04-27,Cruzeiro Saf,1014.36
2025,6,2025-04-27,Vasco da Gama S.a.f.,985.04
2025,6,2025-04-27,Vitória,989.1
2025,6,2025-04-27,Grêmio,972.22
2025,6,2025-04-27,Santos Fc,959.86
2025,6,2025-04-27,Red Bull Bragantino,1041.96
