ano,rodada,data,time,elo
2018,1,2018-04-14,Cruzeiro,985.0
2018,1,2018-04-14,Cruzeiro,1015.0
2018,1,2018-04-14,Vitória,1000.0
2018,1,2018-04-14,Flamengo,1000.0
2018,1,2018-04-14,Santos Fc,1015.0
2018,1,2018-04-14,Ceará,985.0
2018,1,2018-04-15,America,1015.0
2018,1,2018-04-15,Sport Recife,985.0
2018,1,2018-04-15,Vasco da Gama,1015.0
2018,1,2018-04-15,Atlético Mineiro,985.0
2018,1,2018-04-15,Corinthians,1015.0
2018,1,2018-04-15,Fluminense,985.0
2018,1,2018-04-15,Bahia,1015.0
2018,1,2018-04-15,Bahia,985.0
2018,1,2018-04-15,Athletico Paranaense,1015.0
2018,1,2018-04-15,Chapecoense,985.0
2018,1,2018-04-16,Botafogo,1000.0
2018,1,2018-04-16,Botafogo,1000.0
2018,1,2018-04-16,São Paulo,1015.0
2018,1,2018-04-16,Parana,985.0
2018,2,2018-04-21,Bahia,1000.0
2018,2,2018-04-21,Bahia,970.0
2018,2,2018-04-21,Flamengo,1015.65
2018,2,2018-04-21,America,999.35
2018,2,2018-04-22,Grêmio,1000.65
2018,2,2018-04-22,Athletico Paranaense,1014.35
2018,2,2018-04-22,Atlético Mineiro,1000.65
2018,2,2018-04-22,Vitória,984.35
2018,2,2018-04-22,Chapecoense,986.29
2018,2,2018-04-22,Vasco da Gama,1013.71
2018,2,2018-04-22,Ceará,986.29
2018,2,2018-04-22,São Paulo,1013.71
2018,2,2018-04-22,Cruzeiro,1030.0
2018,2,2018-04-22,Cruzeiro,1000.0
2018,2,2018-04-22,Parana,971.29
2018,2,2018-04-22,Corinthians,1028.71
2018,2,2018-04-22,Palmeiras,1015.0
2018,2,2018-04-22,Internacional,985.0
2018,2,2018-04-23,Botafogo,1000.0
2018,2,2018-04-23,Botafogo,1000.0
2018,3,2018-04-28,Botafogo,1015.0
2018,3,2018-04-28,Botafogo,985.0
2018,3,2018-04-29,Parana,956.88
2018,3,2018-04-29,Sport Recife,999.41
2018,3,2018-04-29,Bahia,970.0
