ano,rodada,mandante,visitante,gol_prev_mandante,gol_prev_visitante,previsao
2022,1,Fluminense,Santos Fc,0,0,Real
2022,1,Atlético Goianiense,Flamengo,1,1,Real
2022,1,Palmeiras,Ceará,2,3,Real
2022,1,Coritiba,Goiás,3,0,Real
2022,1,Atlético Mineiro,Internacional,2,0,Real
2022,1,Botafogo,Corinthians,1,3,Real
2022,1,Fortaleza,Cuiabá,0,1,Real
2022,1,Avaí,America,1,0,Real
2022,1,São Paulo,Athletico Paranaense,4,0,Real
2022,1,Juventude,Red Bull Bragantino,2,2,Real
2022,2,Goiás,Palmeiras,0,0,Empate
2022,2,Corinthians,Avaí,0,0,Empate
2022,2,America,Juventude,0,0,Empate
2022,2,Cuiabá,Fluminense,0,0,Empate
2022,2,Santos Fc,Coritiba,0,0,Empate
2022,2,Flamengo,São Paulo,0,0,Empate
2022,2,Red Bull Bragantino,Atlético Goianiense,0,0,Empate
2022,2,Internacional,Fortaleza,0,0,Empate
2022,2,Athletico Paranaense,Atlético Mineiro,0,1,Visitante
2022,2,Ceará,Botafogo,1,0,Mandante
2022,3,Red Bull Bragantino,São Paulo,0,0,Empate
2022,3,Athletico Paranaense,Flamengo,0,1,Visitante
2022,3,Palmeiras,Corinthians,0,1,Visitante
2022,3,Fluminense,Internacional,0,0,Empate
2022,3,Atlético Mineiro,Coritiba,1,0,Mandante
2022,3,Santos Fc,America,0,0,Empate
2022,3,Juventude,Cuiabá,0,0,Empate
2022,3,Atlético Goianiense,Botafogo,0,0,Empate
2022,3,Avaí,Goiás,0,0,Empate
2022,3,Fortaleza,Ceará,0,1,Visitante
2022,4,Flamengo,Palmeiras,0,0,Empate
2022,4,America,Athletico Paranaense,0,0,Empate
2022,4,Ceará,Red Bull Bragantino,0,0,Empate
2022,4,Goiás,Atlético Mineiro,0,1,Visitante
2022,4,Cuiabá,Atlético Goianiense,1,0,Mandante
2022,4,Botafogo,Juventude,1,0,Mandante
2022,4,Corinthians,Fortaleza,1,0,Mandante
2022,4,Coritiba,Fluminense,0,0,Empate
2022,4,Internacional,Avaí,0,0,Empate
2022,4,São Paulo,Santos Fc,0,1,Visitante
2022,5,Atlético Mineiro,America,1,0,Mandante
2022,5,Athletico Paranaense,Ceará,0,1,Visitante
2022,5,Flamengo,Botafogo,0,0,Empate
2022,5,Atlético Goianiense,Goiás,0,0,Empate
2022,5,Palmeiras,Fluminense,0,0,Empate
2022,5,Santos Fc,Cuiabá,0,0,Empate
2022,5,Red Bull Bragantino,Corinthians,0,0,Empate
2022,5,Juventude,Internacional,0,1,Visitante
2022,5,Fortaleza,São Paulo,0,1,Visitante
2022,5,Avaí,Coritiba,0,0,Empate
2022,6,Palmeiras,Red Bull Bragantino,0,0,Empate
2022,6,Ceará,Flamengo,0,0,Empate
2022,6,Internacional,Corinthians,0,1,Visitante
2022,6,Atlético Mineiro,Atlético Goianiense,1,0,Mandante
2022,6,Fluminense,Athletico Paranaense,0,0,Empate
2022,6,São Paulo,Cuiabá,0,0,Empate
2022,6,Coritiba,America,0,0,Empate
2022,6,Avaí,Juventude,1,0,Mandante
2022,6,Botafogo,Fortaleza,1,0,Mandante
2022,6,Goiás,Santos Fc,0,1,Visitante
2022,7,Red Bull Bragantino,Atlético Mineiro,0,1,Visitante
2022,7,Flamengo,Goiás,0,1,Visitante
2022,7,Atlético Goianiense,Coritiba,0,1,Visitante
2022,7,Santos Fc,Ceará,1,0,Mandante
2022,7,Juventude,Palmeiras,0,1,Visitante
2022,7,America,Botafogo,0,1,Visitante
2022,7,Cuiabá,Internacional,0,1,Visitante
2022,7,Corinthians,São Paulo,0,0,Empate
2022,7,Fortaleza,Fluminense,0,1,Visitante
2022,7,Athletico Paranaense,Avaí,0,1,Visitante
2022,8,Goiás,Red Bull Bragantino,0,0,Empate
2022,8,São Paulo,Ceará,1,0,Mandante
2022,8,Fortaleza,Juventude,0,1,Visitante
2022,8,Coritiba,Botafogo,0,1,Visitante
2022,8,Santos Fc,Palmeiras,0,0,Empate
2022,8,Cuiabá,Athletico Paranaense,0,0,Empate
2022,8,Corinthians,America,1,0,Mandante
2022,8,Fluminense,Flamengo,0,0,Empate
2022,8,Atlético Mineiro,Avaí,1,0,Mandante
2022,8,Internacional,Atlético Goianiense,1,0,Mandante
2022,9,America,Cuiabá,1,0,Mandante
2022,9,Athletico Paranaense,Santos Fc,0,0,Empate
2022,9,Ceará,Coritiba,0,1,Visitante
2022,9,Avaí,São Paulo,0,1,Visitante
2022,9,Atlético Goianiense,Corinthians,0,1,Visitante
2022,9,Juventude,Fluminense,0,1,Visitante
2022,9,Flamengo,Fortaleza,1,0,Mandante
2022,9,Palmeiras,Atlético Mineiro,0,0,Empate
2022,9,Red Bull Bragantino,Internacional,0,0,Empate
2022,9,Botafogo,Goiás,0,0,Empate
2022,10,Cuiabá,Corinthians,0,1,Visitante
2022,10,Juventude,Athletico Paranaense,0,0,Empate
2022,10,America,Ceará,1,0,Mandante
2022,10,Red Bull Bragantino,Flamengo,0,0,Empate
2022,10,Atlético Goianiense,Avaí,0,0,Empate
2022,10,Fluminense,Atlético Mineiro,0,1,Visitante
2022,10,Santos Fc,Internacional,0,1,Visitante
2022,10,Palmeiras,Botafogo,1,0,Mandante
2022,10,Fortaleza,Goiás,0,1,Visitante
2022,10,Coritiba,São Paulo,0,0,Empate
2022,11,Corinthians,Juventude,1,0,Mandante
2022,11,Atlético Mineiro,Santos Fc,1,0,Mandante
2022,11,Cuiabá,Red Bull Bragantino,0,1,Visitante
2022,11,Fluminense,Atlético Goianiense,0,0,Empate
2022,11,Internacional,Flamengo,1,0,Mandante
2022,11,Goiás,Ceará,0,0,Empate
2022,11,São Paulo,America,1,0,Mandante
2022,11,Coritiba,Palmeiras,0,1,Visitante
2022,11,Fortaleza,Athletico Paranaense,0,1,Visitante
2022,11,Botafogo,Avaí,0,0,Empate
2022,12,Juventude,Santos Fc,0,1,Visitante
2022,12,Red Bull Bragantino,Coritiba,0,0,Empate
2022,12,Ceará,Atlético Mineiro,0,0,Empate
2022,12,Flamengo,Cuiabá,0,0,Empate
2022,12,Goiás,Internacional,0,1,Visitante
2022,12,Athletico Paranaense,Corinthians,0,1,Visitante
2022,12,America,Fluminense,0,0,Empate
2022,12,Botafogo,São Paulo,0,1,Visitante
2022,12,Palmeiras,Atlético Goianiense,1,0,Mandante
2022,12,Avaí,Fortaleza,1,0,Mandante
2022,13,Cuiabá,Ceará,0,1,Visitante
2022,13,Santos Fc,Red Bull Bragantino,0,0,Empate
2022,13,Atlético Mineiro,Flamengo,1,0,Mandante
2022,13,Corinthians,Goiás,1,0,Mandante
2022,13,Coritiba,Athletico Paranaense,0,1,Visitante
2022,13,Fortaleza,America,0,1,Visitante
2022,13,Internacional,Botafogo,1,0,Mandante
2022,13,Atlético Goianiense,Juventude,1,0,Mandante
2022,13,Fluminense,Avaí,0,0,Empate
2022,13,São Paulo,Palmeiras,0,1,Visitante
2022,14,Internacional,Coritiba,1,0,Mandante
2022,14,Athletico Paranaense,Red Bull Bragantino,0,0,Empate
2022,14,Flamengo,America,0,0,Empate
2022,14,Corinthians,Santos Fc,1,0,Mandante
2022,14,Atlético Mineiro,Fortaleza,1,0,Mandante
2022,14,Avaí,Palmeiras,0,1,Visitante
2022,14,Botafogo,Fluminense,0,0,Empate
2022,14,São Paulo,Juventude,1,0,Mandante
2022,14,Ceará,Atlético Goianiense,0,0,Empate
2022,14,Goiás,Cuiabá,0,0,Empate
2022,15,Juventude,Atlético Mineiro,0,1,Visitante
2022,15,Fluminense,Corinthians,0,1,Visitante
2022,15,Santos Fc,Flamengo,1,0,Mandante
2022,15,Ceará,Internacional,0,1,Visitante
2022,15,Palmeiras,Athletico Paranaense,1,0,Mandante
2022,15,Avaí,Cuiabá,1,0,Mandante
2022,15,Atlético Goianiense,São Paulo,0,0,Empate
2022,15,America,Goiás,0,1,Visitante
2022,15,Coritiba,Fortaleza,0,0,Empate
2022,15,Red Bull Bragantino,Botafogo,0,0,Empate
2022,16,Red Bull Bragantino,Avaí,0,0,Empate
2022,16,Fluminense,Ceará,1,0,Mandante
2022,16,Goiás,Athletico Paranaense,0,1,Visitante
2022,16,Coritiba,Juventude,1,0,Mandante
2022,16,Corinthians,Flamengo,1,0,Mandante
2022,16,Santos Fc,Atlético Goianiense,0,0,Empate
2022,16,Atlético Mineiro,São Paulo,1,0,Mandante
2022,16,Fortaleza,Palmeiras,0,1,Visitante
2022,16,Cuiabá,Botafogo,0,1,Visitante
2022,16,Internacional,America,1,0,Mandante
2022,17,Athletico Paranaense,Internacional,0,0,Empate
2022,17,Avaí,Santos Fc,0,1,Visitante
2022,17,Flamengo,Coritiba,0,0,Empate
2022,17,Ceará,Corinthians,0,1,Visitante
2022,17,Juventude,Goiás,0,1,Visitante
2022,17,São Paulo,Fluminense,0,1,Visitante
2022,17,Botafogo,Atlético Mineiro,0,1,Visitante
2022,17,Atlético Goianiense,Fortaleza,1,0,Mandante
2022,17,America,Red Bull Bragantino,0,1,Visitante
2022,17,Palmeiras,Cuiabá,1,0,Mandante
2022,18,Ceará,Avaí,1,0,Mandante
2022,18,Red Bull Bragantino,Fortaleza,1,0,Mandante
2022,18,Goiás,Fluminense,0,1,Visitante
2022,18,Athletico Paranaense,Atlético Goianiense,1,0,Mandante
2022,18,Flamengo,Juventude,1,0,Mandante
2022,18,Internacional,São Paulo,1,0,Mandante
2022,18,Corinthians,Coritiba,1,0,Mandante
