ano,rodada,mandante,visitante,gol_prev_mandante,gol_prev_visitante,previsao,gol_time_mandante,gol_time_visitante,data,local,pontos_prev_mandante,pontos_prev_visitante,pontos_real_mandante,pontos_real_visitante,erro_mandante,erro_visitante
2019,2,Internacional,Flamengo,0,1,Visitante,2,1,2019-05-01,Beira-Rio - Porto Alegre - RS,0,3,3,0,-3,3
2019,2,Csa,Palmeiras,0,1,Visitante,1,1,2019-05-01,Rei Pelé - Maceio - AL,0,3,1,1,-1,2
2019,2,Corinthians,Chapecoense,0,1,Visitante,1,0,2019-05-01,Neo Química Arena - Sao Paulo - SP,0,3,3,0,-3,3
2019,2,Avaí,Grêmio,0,0,Empate,1,1,2019-05-01,Ressacada - Florianopolis - SC,1,1,1,1,0,0
2019,2,Cruzeiro,Ceará,0,1,Visitante,1,0,2019-05-01,Mineirão - Belo Horizonte - MG,0,3,3,0,-3,3
2019,2,Vasco da Gama,Atlético Mineiro,0,1,Visitante,1,2,2019-05-01,São Januário - Rio de Janeiro - RJ,0,3,0,3,0,0
2019,2,Goiás,São Paulo,0,0,Empate,1,2,2019-05-01,Serra Dourada - Goiania - GO,1,1,0,3,1,-2
2019,2,Fortaleza,Athletico Paranaense,0,1,Visitante,2,1,2019-05-01,Arena Castelão - Fortaleza - CE,0,3,3,0,-3,3
2019,2,Santos Fc,Fluminense,1,0,Mandante,2,1,2019-05-02,Vila Belmiro - Santos - SP,3,0,3,0,0,0
2019,2,Botafogo,Bahia,0,1,Visitante,3,2,2019-05-02,Nilton Santos - Rio de Janeiro - RJ,0,3,3,0,-3,3
2019,3,Vasco da Gama,Corinthians,0,1,Visitante,1,1,2019-05-04 00:00:00,Arena da Amazônia - Manaus - AM,0,3,1,1,-1,2
2019,3,Palmeiras,Internacional,0,0,Empate,1,0,2019-05-04 00:00:00,Allianz Parque - Sao Paulo - SP,1,1,3,0,-2,1
2019,3,Ceará,Atlético Mineiro,0,1,Visitante,1,2,2019-05-04 00:00:00,Arena Castelão - Fortaleza - CE,0,3,0,3,0,0
2019,3,Chapecoense,Athletico Paranaense,0,0,Empate,1,1,2019-05-05 00:00:00,Arena Condá - Chapeco - SC,1,1,1,1,0,0
2019,3,São Paulo,Flamengo,1,0,Mandante,1,1,2019-05-05 00:00:00,Morumbi - Sao Paulo - SP,3,0,1,1,2,-1
2019,3,Botafogo,Fortaleza,0,0,Empate,1,0,2019-05-05 00:00:00,Nilton Santos - Rio de Janeiro - RJ,1,1,3,0,-2,1
2019,3,Csa,Santos Fc,0,1,Visitante,0,0,2019-05-05 00:00:00,Rei Pelé - Maceio - AL,0,3,1,1,-1,2
2019,3,Cruzeiro,Goiás,0,0,Empate,2,1,2019-05-05 00:00:00,Mineirão - Belo Horizonte - MG,1,1,3,0,-2,1
2019,3,Grêmio,Fluminense,0,0,Empate,4,5,2019-05-05 00:00:00,Arena do Grêmio - Porto Alegre - RS,1,1,0,3,1,-2
2019,3,Bahia,Avaí,0,0,Empate,1,0,2019-05-05 00:00:00,Arena Fonte Nova - Salvador - BA,1,1,3,0,-2,1
